date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:54:22	18291/18291	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d56c650-4773%22	https://coreui.io/demo/dark/vendors/perfect-scrollbar/js/perfect-scrollbar.min.js	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/vendors/perfect-scrollbar/js/perfect-scrollbar.min.js	(from https://coreui.io/demo/dark/)
09:54:22	23445/23445	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d56c64f-5b95%22	https://coreui.io/demo/dark/vendors/@coreui/coreui-pro/js/coreui.min.js	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/vendors/@coreui/coreui-pro/js/coreui.min.js	(from https://coreui.io/demo/dark/)
09:54:23	20912/20912	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225d56c64f-51b0%22	https://coreui.io/demo/dark/vendors/@coreui/icons/fonts/CoreUI-Icons-Linear-Free.eot?64h6xh	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/vendors/@coreui/icons/fonts/CoreUI-Icons-Linear-Free9738.eot	(from https://coreui.io/demo/dark/vendors/@coreui/icons/css/coreui-icons.min.css)
09:54:23	20704/20704	---MCZ	200	added ('OK')	font/ttf	etag:W/%225d56c64f-50e0%22	https://coreui.io/demo/dark/vendors/@coreui/icons/fonts/CoreUI-Icons-Linear-Free.ttf?64h6xh	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/vendors/@coreui/icons/fonts/CoreUI-Icons-Linear-Free9738.ttf	(from https://coreui.io/demo/dark/vendors/@coreui/icons/css/coreui-icons.min.css)
09:54:23	20780/20780	---M--	200	added ('OK')	font/woff	etag:%225d56c64f-512c%22	https://coreui.io/demo/dark/vendors/@coreui/icons/fonts/CoreUI-Icons-Linear-Free.woff?64h6xh	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/vendors/@coreui/icons/fonts/CoreUI-Icons-Linear-Free9738.woff	(from https://coreui.io/demo/dark/vendors/@coreui/icons/css/coreui-icons.min.css)
09:54:23	66841/66841	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d56c64f-10519%22	https://coreui.io/demo/dark/vendors/@coreui/icons/fonts/CoreUI-Icons-Linear-Free.svg?64h6xh	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/vendors/@coreui/icons/fonts/CoreUI-Icons-Linear-Free9738.svg	(from https://coreui.io/demo/dark/vendors/@coreui/icons/css/coreui-icons.min.css)
09:54:24	33893/33893	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d56c650-8465%22	https://coreui.io/demo/dark/vendors/flag-icon-css/flags/4x3/ad.svg	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/vendors/flag-icon-css/flags/4x3/ad.svg	(from https://coreui.io/demo/dark/vendors/flag-icon-css/css/flag-icon.min.css)
09:54:24	32679/32679	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d56c650-7fa7%22	https://coreui.io/demo/dark/vendors/flag-icon-css/flags/1x1/ad.svg	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/vendors/flag-icon-css/flags/1x1/ad.svg	(from https://coreui.io/demo/dark/vendors/flag-icon-css/css/flag-icon.min.css)
09:54:24	254/254	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d56c650-fe%22	https://coreui.io/demo/dark/vendors/flag-icon-css/flags/4x3/ae.svg	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/vendors/flag-icon-css/flags/4x3/ae.svg	(from https://coreui.io/demo/dark/vendors/flag-icon-css/css/flag-icon.min.css)
09:54:25	262/262	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d56c650-106%22	https://coreui.io/demo/dark/vendors/flag-icon-css/flags/1x1/ae.svg	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/vendors/flag-icon-css/flags/1x1/ae.svg	(from https://coreui.io/demo/dark/vendors/flag-icon-css/css/flag-icon.min.css)
